ID,name,url,,commits,stars,forks,contrib,language,description,Type
17,spring-cloud/spring-cloud-dataflow,https://github.com/spring-cloud/spring-cloud-dataflow,,1033,213,147,34,Java,"orchestration for microservices, including both stream and task/batch processing",Communication
18,Hemerajs/hemera,https://github.com/hemerajs/hemera,,1767,286,37,10,JS,Lightweight communication middleware for microservices,Communication
19,micro/go-micro,https://github.com/micro/go-micro,,651,2355,247,19,Go,Go Micro is a pluggable RPC framework for microservices.,Communication
20,goadesign/goa,https://github.com/goadesign/goa,,1437,2285,227,66,Go,goa is a framework for building micro-services and REST APIs in Go using a unique design-first approach.,DevOps
21,appcelerator/amp,https://github.com/appcelerator/amp,,1530,62,23,14,Go,"AMP, an open source CaaS for Docker.",DevOps
22,stelligent/mu,https://github.com/stelligent/mu,,419,173,22,5,Go,A full-stack DevOps on AWS tool,DevOps
23,Turing-microservice,https://github.com/otto-de/turing-microservice,,489,21,2,3,JS,Middleware to develop microservices in Node.js,DevOps
24,tes/bosco,https://github.com/tes/bosco,,1002,54,19,38,JS,"Bosco is a utility knife to help manage the complexity that using microservices, which naturally results in a large number of code repositories",DevOps
25,flywheelsports/hydra-express,https://github.com/flywheelsports/hydra-express,,216,72,13,3,JS,A module which wraps Hydra and ExpressJS into a library for building distributed applications - such as microservices ,DevOps
26,yext/edward,https://github.com/yext/edward,,484,75,16,5,Go,A tool for managing local microservice instances,DevOps
27,ServiceComb/java-chassis,https://github.com/ServiceComb/java-chassis,,432,140,87,12,Java,"ServiceComb Java Chassis is a Software Development Kit (SDK) for rapid development of microservices in Java, providing service registration, service discovery, dynamic routing, and service management features ",DevOps
28,kumuluz/kumuluzee,https://github.com/kumuluz/kumuluzee,,460,164,29,9,Java,Lightweight open-source framework for developing microservices using standard Java EE technologies and migrating Java EE to cloud-native architecture. ,DevOps
29,gigya/microdot,https://github.com/gigya/microdot,,207,345,37,9,C#,"An open source .NET microservices framework featuring service containers, RPC, caching, logging, load balancing, dep injection and more",DevOps
30,ice-services/moleculer,https://github.com/ice-services/moleculer,,1185,361,22,8,JS,"Moleculer is a fast, modern and powerful microservices framework for NodeJS (promise-based, req-reply, event driven, service registry and discovery, load balancing, caching and more)",DevOps
31,networknt/light-4j,https://github.com/networknt/light-4j,,543,466,81,8,Java," A fast, lightweight and cross-cutting microservices framework for Java, featuring plugins support, OAuth2, OpenAPI, metrics, etc.",DevOps
32,dashersw/cote,https://github.com/dashersw/cote,,227,541,51,8,JS,Library to configure and develop microservices in Node.js,DevOps
33,Sixt/ja-micro,https://github.com/Sixt/ja-micro,,276,557,44,12,Java,"Lightweight framework for building java microservices, featuring docker containeres, configuration, logging, metrics, load balancing…",DevOps
34,fabiolb/fabio,https://github.com/fabiolb/fabio,,547,3992,306,28,Go,"A fast, modern, zero-conf load balancing HTTP(S) router for deploying microservices managed by consul. ",DevOps
35,SqueezerIO/squeezer,https://github.com/SqueezerIO/squeezer,,115,14,4,2,JS,"Event-driven APIs & Web applications on microservices using AWS Lambda, Azure Functions, Google Functions & more . Serverless",DevOps
36,ericmjonas/pywren,https://github.com/pywren/pywren,,601,337,40,8,Python, Pywren lets you run your existing python code at massive scale via AWS Lambda ,DevOps
37,iron-io/functions,https://github.com/iron-io/functions,,874,1734,131,28,Go,"IronFunctions is an open source serverless platform, Functions as a Service (FaaS) platform that you can run anywhere.",DevOps
38,fabric8io/fabric8-platform,https://github.com/fabric8io/fabric8-platform,,1687,29,24,13,"Shell, Groovy",Generates the distribution of the fabric8 platform,DevOps
39,lastzero/symlex,https://github.com/lastzero/symlex,,333,52,6,3,PHP,PHP framework stack for agile Web development based on Silex and Symfony,DevOps
40,otto-de/edison-microservice,https://github.com/otto-de/edison-microservice,,992,53,36,22,Java,Collection of independent libraries on top of Spring Boot to provide a faster setup of jvm microservices,DevOps
41,armadaplatform/armada,https://github.com/armadaplatform/armada,,797,234,24,13,Python,"a complete solution for development, deployment, configuration and discovery of microservices. Armada is more than just a tool, it defines conventions and good practices designed towards making your platform more service oriented.",DevOps
42,flywheelsports/hydra,https://github.com/flywheelsports/hydra,,242,301,18,9,JS,"Hydra offers features such as service discovery, distributed messaging, message load balancing, logging, presence, and health monitoring.",DevOps
43,magneticio/vamp,https://github.com/magneticio/vamp,,3394,554,54,13,Scala,"a platform-agnostic microservices DSL, easy A-B testing/canary releasing on everything and a deep and extendable metrics engine that monitors everything and directly feeds back into your services.",DevOps
44,Fabric8io/fabric8,https://github.com/fabric8io/fabric8,,13400,1232,428,109,Java,"integrated developer platform for microservices, based on Docker, Kubernetes and Jenkins",DevOps
45,micro/micro,https://github.com/micro/micro,,701,3532,257,17,Go,"A microservice toolkit for distributed systems development (Go micro, Sidecar, API, Web, CLI, Bot)",DevOps
46,Falconry/falcon,https://github.com/falconry/falcon,,1274,4230,461,85,Python,"bare-metal Python web framework for building high-performance microservices, app backends, and higher-level frameworks",DevOps
47,go-kit/kit,https://github.com/go-kit/kit,,1209,7666,762,104,Go,"a programming toolkit for building microservices, that solve common problems in distributed systems and application architecture so you can focus on delivering business value.",DevOps
48,zalando/tailor,https://github.com/zalando/tailor,,298,421,50,25,JS,A library (uses streams to compose a web page from fragment services) that provides a middleware which you can integrate into any Node.js server.,Frontend
49,goby-lang/goby,https://github.com/goby-lang/goby,,1515,2197,85,21,Go,"A new language helps you develop microservices small and handy environment that mainly focusing on creating API servers or microservices. For this, Goby includes the following native features:",Language
50,micro-analytics/micro-analytics,https://github.com/micro-analytics/micro-analytics,,246,649,32,9,JS,Public analytics as a Node.js microservice. Count the views of something and making the views publicly accessible via an API.,Specific-purpose microservices
51,networknt/light-oauth2,https://github.com/networknt/light-oauth2,,113,59,30,3,Java," A fast, light and cloud native OAuth 2.0 authorization microservices based on light-4j",Specific-purpose microservices
52,tarent/loginsrv,https://github.com/tarent/loginsrv,,174,451,27,11,Go," JWT login microservice with plugable backends such as OAuth2, Github, htpasswd, osiam",Specific-purpose microservices
53,ory/ladon,https://github.com/ory/ladon,,89,983,69,13,Go,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies.,Specific-purpose microservices
54,lipp/login-with,https://github.com/lipp/login-with,,109,1659,76,10,JS,Stateless login-with microservice for Oauth,Specific-purpose microservices
55,Paragonie/Chronicle,https://github.com/paragonie/chronicle,,119,195,7,5,PHP,"Self-hostable microservice exposing an append-only, cryptographically-secure hash chain data structure that accepts arbitrary data from authorized clients through an HTTP API",Specific-purpose microservices
56,bstaijen/mariadb-for-microservices,https://github.com/bstaijen/mariadb-for-microservices,,114,10,1,1,Go,MariaDB for Microservices is a working example on how to create an application using the microservice architectural approach and the MariaDB Server. ,Specific-purpose microservices
57,dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,,2028,3311,1009,30,C#,"Sample reference microservice and container based application. Cross-platform on Linux and Windows Containers, powered by .NET Core and Docker engine. ",Specific-purpose microservices
58,Kmt-utilities,https://github.com/Financial-Times/kmt-utilities,,189,26,0,9,JS,"Common middleware and server side helpers for KAT (Knowledge & administration tools) microservices, part of an application for Financial Times B2B clients.",Specific-purpose microservices
59,bashrocks/shebang,https://github.com/bashrocks/shebang,,44,10,0,1,JS,Shebang is an HTTP microservice for linux shell. It's the execution engine backing,Specific-purpose microservices
60,spring-cloud/spring-cloud-task,https://github.com/spring-cloud/spring-cloud-task,,238,93,84,13,Java,"processing on demand. A user is able to develop a “task” that can be deployed, executed and removed on demand, yet the result of the process persists beyond the life of the task for future reporting.",Specific-purpose microservices
61,prooph/micro,https://github.com/prooph/micro,,163,26,4,5,PHP,Functional prooph for microservices  of our famous proophessor-do PHP event-sourcing example project.,Specific-purpose microservices
62,jbossdemocentral/coolstore-microservice,https://github.com/jbossdemocentral/coolstore-microservice,,440,72,90,3,"Java, Shell, JS","CoolStore is a containerised polyglot microservices application consisting of services based on JBoss Middleware, NodeJS, Spring, Netflix OSS and more running on OpenShift ",Specific-purpose microservices
63,4finance/micro-infra-spring,https://github.com/4finance/micro-infra-spring,,1638,186,53,35,"Groovy, Java",default microservice infrastructure set up using Spring configuration ,Specific-purpose microservices
64,Microservices-demo,https://github.com/microservices-demo/microservices-demo,,1567,641,284,38,Shell,Deployment scripts & config for Sock Shop example microservices application,Specific-purpose microservices
